"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"7489",2,"Russ",0,"Georgia",0,"Y Kushnarev",4,"FB","lost",0,"2","2",0,4,0,0
"7490",2,"Korea",0,"Japan",0,"YJ Hyeok",4,"FH","lost",0,"3","2",0,4,0,0
"7491",2,"JPN",0,"Hong Kong",0,"R Matsuda",4,"FH","won",0,"2","3",0,4,0,0
"7492",2,"Fiji",0,"Australia",0,"BTT Volavola",4,"FH","lost",0,"2","1",0,4,0,0
"7493",2,"Fra",0,"South Africa",0,"J Plisson",4,"FH","lost",0,"1","1",0,4,0,0
"7494",2,"Ire",0,"USA",0,"J Carbery",4,"FH","won",0,"1","2",0,4,0,0
"7495",2,"USA",0,"Ireland",0,"AL MacGinty",4,"FH","lost",0,"2","1",0,4,0,0
"7496",2,"Ire",0,"USA",0,"R Scannell",4,"C","won",0,"1","2",0,4,0,0
"7497",2,"NZ",0,"Samoa",0,"LZ Sopoaga",4,"FH","won",0,"1","2",0,4,0,0
"7498",2,"Aust",0,"Scotland",0,"BT Foley",4,"FH","lost",0,"1","1",0,4,0,0
"7499",2,"JPN",0,"Ireland",0,"R Matsuda",4,"FH","lost",0,"2","1",0,4,0,0
"7500",2,"Russ",0,"Namibia",0,"Y Kushnarev",4,"FH","won",0,"2","2",0,4,0,0
"7501",2,"Namib",0,"Zimbabwe",0,"CSJ Loubser",4,"SH","won",0,"2","3",0,4,0,0
"7502",2,"Namib",0,"Kenya",0,"TAW Kotze",4,"FH","won",0,"2","3",0,4,0,0
"7503",2,"Kenya",0,"Hong Kong",0,"KR Andola",4,"FH","draw",0,"3","3",0,4,0,0
"7504",2,"JPN",0,"Australia",0,"Y Tamura",4,"W","lost",0,"2","1",0,4,0,0
"7505",0,"SA",0,"Wales",1,"FPL Steyn",3,"C","won",0,"1","1",0,0,3,0
"7506",0,"Port",0,"Romania",1,"GPDRV Malheiro",3,"FH","lost",0,"2","2",0,0,3,0
"7507",0,"Port",0,"Georgia",1,"PPDC Cabral",3,"FH","lost",0,"2","2",0,0,3,0
"7508",0,"Georg",1,"Romania",0,"L Malaguradze",3,"FH","won",0,"2","2",0,0,0,3
"7509",0,"Georg",0,"Portugal",1,"O Barkalaia",3,"FB","won",0,"2","2",0,0,3,0
"7510",0,"Georg",1,"Portugal",0,"L Malaguradze",3,"FH","won",0,"2","2",0,0,0,3
"7511",0,"Italy",0,"Wales",1,"A Marcato",3,"FB","lost",0,"1","1",0,0,3,0
"7512",0,"Fra",0,"England",1,"MRJ Parra",3,"SH","lost",0,"1","1",0,0,3,0
"7513",0,"Fra",0,"England",1,"D Yachvili",3,"SH","lost",0,"1","1",0,0,3,0
"7514",0,"Wales",0,"Ireland",1,"JW Hook",3,"FH","won",0,"1","1",0,0,3,0
"7515",0,"Scot",0,"England",1,"DA Parks",3,"W","won",0,"1","1",0,0,3,0
"7516",0,"Rom",0,"Russia",1,"FA Vlaicu",3,"FB","lost",0,"2","2",0,0,3,0
"7517",0,"Scot",0,"Italy",1,"DA Parks",3,"FH","lost",0,"1","1",0,0,3,0
"7518",0,"Fra",0,"Wales",1,"D Yachvili",3,"SH","lost",0,"1","1",0,0,3,0
"7519",0,"Czech",0,"Georgia",1,"P Vokrouhlik",3,"FH","lost",0,"3","2",0,0,3,0
"7520",0,"Germ",1,"Ukraine",0,"M Gungor",3,"SH","won",0,"2","3",0,0,0,3
"7521",0,"Czech",0,"Russia",1,"P Vokrouhlik",3,"C","lost",0,"3","2",0,0,3,0
"7522",0,"Germ",1,"Netherlands",0,"C Grzanna",3,"C","won",0,"2","3",0,0,0,3
"7523",0,"Urug",0,"Argentina",1,"M Arocena",3,"FB","lost",0,"2","1",0,0,3,0
"7525",0,"Urug",0,"Romania",1,"M Arocena",3,"FH","lost",0,"2","2",0,0,3,0
"7526",0,"Urug",0,"Romania",1,"E Caffera",3,"SH","lost",0,"2","2",0,0,3,0
"7527",0,"Namib",0,"Senegal",1,"TC Losper",3,"FB","won",0,"2","3",0,0,3,0
"7528",0,"Russ",1,"Uruguay",0,"S Kuzmenko",3,"FH","lost",0,"2","2",0,0,0,3
"7530",0,"Tonga",0,"Fiji",1,"VF Lilo",3,"FB","won",0,"2","2",0,0,3,0
"7531",0,"SA",0,"New Zealand",1,"AD James",3,"FH","lost",0,"1","1",0,0,3,0
"7532",0,"Aust",1,"South Africa",0,"BS Barnes",3,"C","won",0,"1","1",0,0,0,3
"7533",0,"Aust",0,"South Africa",1,"MJ Giteau",3,"FH","won",0,"1","1",0,0,3,0
"7534",0,"SA",0,"Australia",1,"AD James",3,"FH","lost",0,"1","1",0,0,3,0
"7535",0,"SA",0,"Australia",1,"AD James",3,"FH","lost",0,"1","1",0,0,3,0
"7536",0,"Aust",0,"South Africa",1,"MJ Giteau",3,"FH","lost",0,"1","1",0,0,3,0
"7537",0,"Aust",0,"Italy",1,"SA Mortlock",3,"C","won",0,"1","1",0,0,3,0
"7538",0,"PI",0,"England",1,"S Baikeinuku",3,"FH","lost",0,"3","1",0,0,3,0
"7539",0,"Wales",0,"South Africa",1,"SL Halfpenny",3,"W","lost",0,"1","1",0,0,3,0
"7540",0,"Fra",0,"Argentina",1,"B Baby",3,"C","won",0,"1","1",0,0,3,0
"7542",0,"Eng",1,"Australia",0,"DA Armitage",3,"FB","lost",0,"1","1",0,0,0,3
"7543",0,"Aust",0,"England",1,"SA Mortlock",3,"C","won",0,"1","1",0,0,3,0
"7544",0,"Ire",0,"New Zealand",1,"RJR O'Gara",3,"FH","lost",0,"1","1",0,0,3,0
"7545",0,"JPN",0,"USA",1,"SJ Webb",3,"FH","won",0,"2","2",0,0,3,0
"7546",0,"Arg",0,"Ireland",1,"S Fernandez",3,"FH","lost",0,"1","1",0,0,3,0
"7547",0,"Fra",1,"Australia",0,"M Medard",3,"FB","lost",0,"1","1",0,0,0,3
"7548",0,"Eng",0,"New Zealand",1,"DA Armitage",3,"FB","lost",0,"1","1",0,0,3,0
"7549",0,"Eng",0,"New Zealand",1,"TGAL Flood",3,"FH","lost",0,"1","1",0,0,3,0
"7550",0,"Eng",1,"Wales",0,"AJ Goode",3,"FH","lost",0,"1","1",0,0,0,3
"7551",0,"Wales",0,"France",1,"JW Hook",3,"FH","lost",0,"1","1",0,0,3,0
"7552",0,"Russ",0,"Romania",1,"I Klyuchnikov",3,"FB","won",0,"2","2",0,0,3,0
"7553",0,"Italy",0,"Scotland",1,"LJ McLean",3,"FH","lost",0,"1","1",0,0,3,0
"7554",0,"Italy",1,"Scotland",0,"SM Parisse",3,"N8","lost",0,"1","1",0,0,0,3
"7555",0,"Eng",0,"Ireland",1,"TGAL Flood",3,"FH","lost",0,"1","1",0,0,3,0
"7556",0,"Port",0,"Spain",1,"PMDC Leal",3,"FB","won",0,"2","2",0,0,3,0
"7557",0,"Port",0,"Spain",1,"DC Pinto",3,"FH","won",0,"2","2",0,0,3,0
"7558",0,"Italy",0,"France",1,"A Marcato",3,"FB","lost",0,"1","1",0,0,3,0
"7559",0,"Eng",1,"Scotland",0,"DS Care",3,"SH","won",0,"1","1",0,0,0,3
"7560",0,"Scot",0,"England",1,"PJ Godman",3,"FH","lost",0,"1","1",0,0,3,0
"7561",0,"Italy",0,"Australia",1,"LJ McLean",3,"FB","lost",0,"1","1",0,0,3,0
"7564",0,"NZ",0,"France",1,"CL McAlister",3,"FH","won",0,"1","1",0,0,3,0
"7565",0,"Fra",0,"New Zealand",1,"D Yachvili",3,"SH","lost",0,"1","1",0,0,3,0
"7566",0,"SA",0,"Lions",1,"FPL Steyn",3,"FB","won",0,"1","Lions/Barb",0,0,3,0
"7567",0,"Fra",0,"Australia",1,"L Beauxis",3,"FH","lost",0,"1","1",0,0,3,0
"7568",0,"Fra",0,"Australia",1,"D Yachvili",3,"SH","lost",0,"1","1",0,0,3,0
"7569",0,"SA",0,"Lions",1,"FPL Steyn",3,"FB","won",0,"1","Lions/Barb",0,0,3,0
"7570",0,"NZ",0,"South Africa",1,"CL McAlister",3,"FH","lost",0,"1","1",0,0,3,0
"7571",0,"Aust",1,"South Africa",0,"BS Barnes",3,"C","lost",0,"1","1",0,0,0,3
"7572",0,"Aust",1,"New Zealand",0,"BS Barnes",3,"C","lost",0,"1","1",0,0,0,3
"7573",0,"Aust",0,"New Zealand",1,"MJ Giteau",3,"FH","lost",0,"1","1",0,0,3,0
"7574",0,"Fra",0,"South Africa",1,"MRJ Parra",3,"SH","won",0,"1","1",0,0,3,0
"7575",0,"Urug",0,"USA",1,"N Morales",3,"FH","lost",0,"2","2",0,0,3,0
"7576",0,"Can",0,"Japan",1,"J Pritchard",3,"FB","lost",0,"2","2",0,0,3,0
"7577",0,"Can",0,"Japan",1,"A Monro",3,"FH","lost",0,"2","2",0,0,3,0
"7578",0,"Can",0,"Japan",1,"J Pritchard",3,"FB","lost",0,"2","2",0,0,3,0
"7580",0,"Aust",0,"Scotland",1,"MJ Giteau",3,"FH","lost",0,"1","1",0,0,3,0
"7581",0,"Scot",1,"Australia",0,"CD Paterson",3,"W","won",0,"1","1",0,0,0,3
"7582",0,"Italy",0,"Samoa",1,"C Gower",3,"FH","won",0,"1","2",0,0,3,0
"7583",0,"Italy",1,"Samoa",0,"T Tebaldi",3,"SH","won",0,"1","2",0,0,0,3
"7584",0,"Tonga",0,"Portugal",1,"RP Hola",3,"FH","won",0,"2","2",0,0,3,0
"7585",0,"Wales",0,"Australia",1,"SL Halfpenny",3,"W","lost",0,"1","1",0,0,3,0
"7586",0,"Fra",1,"New Zealand",0,"F Trinh-Duc",3,"FH","lost",0,"1","1",0,0,0,3
"7587",0,"Can",1,"Russia",0,"A Monro",3,"FH","won",0,"2","2",0,0,0,3
"7588",0,"Germ",0,"Georgia",1,"K Davies",3,"FH","lost",0,"2","2",0,0,3,0
"7589",0,"Italy",0,"Ireland",1,"M Bergamasco",3,"W","lost",0,"1","1",0,0,3,0
"7590",0,"Italy",0,"Ireland",1,"C Gower",3,"FH","lost",0,"1","1",0,0,3,0
"7591",0,"Ire",0,"Italy",1,"PR Wallace",3,"FH","won",0,"1","1",0,0,3,0
"7592",0,"Georg",1,"Portugal",0,"L Malaguradze",3,"FH","won",0,"2","2",0,0,0,3
"7593",0,"Fra",1,"Ireland",0,"F Michalak",3,"C","won",0,"1","1",0,0,0,3
"7594",0,"Fra",0,"Wales",1,"F Michalak",3,"FH","won",0,"1","1",0,0,3,0
"7595",0,"Rom",0,"Russia",1,"FA Vlaicu",3,"FH","draw",0,"2","2",0,0,3,0
"7596",0,"Ire",0,"England",1,"JJ Sexton",3,"FH","won",0,"1","1",0,0,3,0
"7597",0,"Georg",0,"Romania",1,"L Malaguradze",3,"FH","lost",0,"2","2",0,0,3,0
"7598",0,"Port",0,"Spain",1,"JK Gardener",3,"FB","won",0,"2","2",0,0,3,0
"7599",0,"Russ",0,"Georgia",1,"Y Kushnarev",3,"FH","lost",0,"2","2",0,0,3,0
"7600",0,"Port",0,"Romania",1,"JK Gardener",3,"FB","lost",0,"2","2",0,0,3,0
"7601",0,"Fra",1,"England",0,"F Trinh-Duc",3,"FH","won",0,"1","1",0,0,0,3
"7602",0,"Eng",0,"France",1,"JP Wilkinson",3,"C","lost",0,"1","1",0,0,3,0
"7603",0,"Spain",0,"Romania",1,"MA Mazo Canas",3,"FH","lost",0,"2","2",0,0,3,0
"7604",0,"Korea",0,"Japan",1,"HS Yun",3,"FH","lost",0,"3","2",0,0,3,0
"7605",0,"Fiji",0,"Australia",1,"RT Rawaqa Maravunawasawasa",3,"FB","lost",0,"2","1",0,0,3,0
"7606",0,"SA",0,"Wales",1,"FPL Steyn",3,"FB","won",0,"1","1",0,0,3,0
"7607",0,"USA",0,"Russia",1,"V Rouse",3,"FH","won",0,"2","2",0,0,3,0
"7608",0,"JPN",0,"Fiji",1,"RT Nicholas",3,"C","lost",0,"2","2",0,0,3,0
"7609",0,"Samoa",0,"Tonga",1,"PB Williams",3,"FB","won",0,"2","2",0,0,3,0
"7611",0,"Wales",0,"New Zealand",1,"SL Halfpenny",3,"W","lost",0,"1","1",0,0,3,0
"7612",0,"Eng",0,"Australia",1,"JP Wilkinson",3,"FH","won",0,"1","1",0,0,3,0
"7613",0,"Arg",0,"Scotland",1,"M Rodriguez Gurruchage",3,"FB","lost",0,"1","1",0,0,3,0
"7614",0,"Wales",0,"New Zealand",1,"SL Halfpenny",3,"W","lost",0,"1","1",0,0,3,0
"7615",0,"Fra",0,"Argentina",1,"J Porical",3,"FB","lost",0,"1","1",0,0,3,0
"7616",0,"NZ",0,"South Africa",1,"PAT Weepu",3,"SH","won",0,"1","1",0,0,3,0
"7617",0,"SA",0,"Australia",1,"M Steyn",3,"FH","lost",0,"1","1",0,0,3,0
"7618",0,"Aust",0,"New Zealand",1,"KJ Beale",3,"FB","lost",0,"1","1",0,0,3,0
"7619",0,"Russ",0,"Japan",1,"A Yanyushkin",3,"SH","lost",0,"2","2",0,0,3,0
"7620",0,"Scot",0,"New Zealand",1,"DA Parks",3,"FH","lost",0,"1","1",0,0,3,0
"7621",0,"Fiji",0,"Wales",1,"JL Matavesi",3,"FB","draw",0,"2","1",0,0,3,0
"7622",0,"Italy",0,"Australia",1,"L Orquera",3,"FH","lost",0,"1","1",0,0,3,0
"7623",0,"Fra",1,"Argentina",0,"D Traille",3,"FH","won",0,"1","1",0,0,0,3
"7624",0,"USA",1,"Georgia",0,"CT Wyles",3,"FB","lost",0,"2","2",0,0,0,3
"7625",0,"Scot",0,"Samoa",1,"RJH Jackson",3,"FH","won",0,"1","2",0,0,3,0
"7626",0,"Namib",0,"Spain",1,"SC de la Harpe",3,"W","lost",0,"2","2",0,0,3,0
"7627",0,"Wales",0,"England",1,"JW Hook",3,"FB","lost",0,"1","1",0,0,3,0
"7628",0,"Eng",0,"Wales",1,"JP Wilkinson",3,"FH","won",0,"1","1",0,0,3,0
"7629",0,"Ukr",0,"Georgia",1,"O Kosariev",3,"W","lost",0,"3","2",0,0,3,0
"7630",0,"Ire",1,"Italy",0,"RJR O'Gara",3,"FH","won",0,"1","1",0,0,0,3
"7631",0,"Spain",0,"Russia",1,"A Jorajuria Calavia",3,"FH","lost",0,"2","2",0,0,3,0
"7632",0,"Russ",0,"Spain",1,"K Rachkov",3,"FH","won",0,"2","2",0,0,3,0
"7633",0,"Fra",1,"Scotland",0,"F Trinh-Duc",3,"FH","won",0,"1","1",0,0,0,3
"7634",0,"Russ",0,"Romania",1,"Y Kushnarev",3,"FH","lost",0,"2","2",0,0,3,0
"7635",0,"Wales",1,"Italy",0,"JW Hook",3,"C","won",0,"1","1",0,0,0,3
"7636",0,"Port",0,"Georgia",1,"PPDC Cabral",3,"FH","lost",0,"2","2",0,0,3,0
"7637",0,"Ukr",0,"Spain",1,"O Kosariev",3,"W","lost",0,"3","2",0,0,3,0
"7638",0,"Georg",0,"Portugal",1,"M Kvirikashvili",3,"FH","won",0,"2","2",0,0,3,0
"7639",0,"Eng",0,"France",1,"JP Wilkinson",3,"FH","won",0,"1","1",0,0,3,0
"7640",0,"Wales",0,"Ireland",1,"SL Halfpenny",3,"W","won",0,"1","1",0,0,3,0
"7641",0,"Scot",1,"England",0,"RJH Jackson",3,"FH","lost",0,"1","1",0,0,0,3
"7642",0,"Italy",0,"Scotland",1,"M Bergamasco",3,"W","lost",0,"1","1",0,0,3,0
"7643",0,"Spain",0,"Romania",1,"A Jorajuria Calavia",3,"FH","lost",0,"2","2",0,0,3,0
"7644",0,"Eng",0,"Ireland",1,"TGAL Flood",3,"FH","lost",0,"1","1",0,0,3,0
"7645",0,"Germ",0,"Moldova",1,"G Franke",3,"FB","lost",0,"2","3",0,0,3,0
"7646",0,"HK",0,"Japan",1,"K Robertson",3,"FH","lost",0,"3","2",0,0,3,0
"7647",0,"SL",0,"Japan",1,"N Hettiarachchi",3,"W","lost",0,"3","2",0,0,3,0
"7648",0,"SL",1,"Japan",0,"R Weeraratne",3,"SH","lost",0,"3","2",0,0,0,3
"7649",0,"Namib",0,"Romania",1,"EA Jantjies",3,"FH","lost",0,"2","2",0,0,3,0
"7650",0,"Rom",0,"Namibia",1,"FA Vlaicu",3,"FB","won",0,"2","2",0,0,3,0
"7651",0,"Port",0,"Namibia",1,"F Serra",3,"FB","lost",0,"2","2",0,0,3,0
"7652",0,"Samoa",0,"Fiji",1,"TJ Lavea Levi",3,"FH","lost",0,"2","2",0,0,3,0
"7653",0,"Fiji",0,"Japan",1,"S Baikeinuku",3,"FH","lost",0,"2","2",0,0,3,0
"7654",0,"Scot",0,"Ireland",1,"CD Paterson",3,"FB","won",0,"1","1",0,0,3,0
"7655",0,"SA",0,"Australia",1,"FPL Steyn",3,"FB","lost",0,"1","1",0,0,3,0
"7656",0,"JPN",0,"USA",1,"RT Nicholas",3,"C","won",0,"2","2",0,0,3,0
"7657",0,"Arg",0,"England",1,"F Contepomi",3,"FH","lost",0,"1","1",0,0,3,0
"7658",0,"Russ",0,"USA",1,"Y Kushnarev",3,"FH","lost",0,"2","2",0,0,3,0
"7659",0,"Russ",0,"USA",1,"K Rachkov",3,"C","lost",0,"2","2",0,0,3,0
"7660",0,"Rom",0,"Argentina",1,"TI Dimofte",3,"FH","lost",0,"2","1",0,0,3,0
"7661",0,"Fiji",0,"South Africa",1,"S Baikeinuku",3,"C","lost",0,"2","1",0,0,3,0
"7662",0,"Fra",1,"Canada",0,"F Trinh-Duc",3,"FH","won",0,"1","2",0,0,0,3
"7663",0,"JPN",0,"Tonga",1,"SJ Webb",3,"FB","lost",0,"2","2",0,0,3,0
"7664",0,"Rom",0,"England",1,"DM Dumbrava",3,"FH","lost",0,"2","1",0,0,3,0
"7665",0,"Scot",1,"Argentina",0,"DA Parks",3,"FH","lost",0,"1","1",0,0,0,3
"7666",0,"Scot",0,"Argentina",1,"CD Paterson",3,"FB","lost",0,"1","1",0,0,3,0
"7667",0,"Georg",0,"Romania",1,"M Urjukashvili",3,"FH","won",0,"2","2",0,0,3,0
"7668",0,"Rom",0,"Georgia",1,"FA Vlaicu",3,"FB","lost",0,"2","2",0,0,3,0
"7669",0,"SA",0,"Samoa",1,"FPL Steyn",3,"C","won",0,"1","2",0,0,3,0
"7670",0,"Wales",0,"Ireland",1,"SL Halfpenny",3,"FB","won",0,"1","1",0,0,3,0
"7671",0,"Fra",1,"England",0,"F Trinh-Duc",3,"SH","won",0,"1","1",0,0,0,3
"7672",0,"Arg",0,"New Zealand",1,"MT Bosch",3,"C","lost",0,"1","1",0,0,3,0
"7673",0,"Wales",0,"France",1,"JW Hook",3,"FH","lost",0,"1","1",0,0,3,0
"7674",0,"Aust",1,"New Zealand",0,"QS Cooper",3,"FH","lost",0,"1","1",0,0,0,3
"7675",0,"NZ",1,"Australia",0,"AW Cruden",3,"FH","won",0,"1","1",0,0,0,3
"7676",0,"Aust",0,"New Zealand",1,"JD O'Connor",3,"W","lost",0,"1","1",0,0,3,0
"7677",0,"Wales",0,"Australia",1,"JW Hook",3,"FH","lost",0,"1","1",0,0,3,0
"7678",0,"NZ",0,"France",1,"SR Donald",3,"FH","won",0,"1","1",0,0,3,0
"7679",0,"Germ",1,"Netherlands",0,"C Sauer",3,"SH","won",0,"2","3",0,0,0,3
"7680",0,"Germ",0,"Poland",1,"R Parkinson",3,"FH","lost",0,"2","3",0,0,3,0
"7681",0,"Italy",0,"France",1,"WT Botes",3,"FH","lost",0,"1","1",0,0,3,0
"7682",0,"Georg",0,"Spain",1,"M Kvirikashvili",3,"FH","lost",0,"2","2",0,0,3,0
"7683",0,"Rom",0,"Russia",1,"VN Calafeteanu",3,"SH","won",0,"2","2",0,0,3,0
"7684",0,"Fra",1,"Scotland",0,"L Beauxis",3,"FB","won",0,"1","1",0,0,0,3
"7685",0,"Italy",0,"Wales",1,"M Bergamasco",3,"W","lost",0,"1","1",0,0,3,0
"7686",0,"Wales",0,"Italy",1,"R Priestland",3,"FH","won",0,"1","1",0,0,3,0
"7687",0,"Fra",0,"England",1,"J Dupuy",3,"SH","lost",0,"1","1",0,0,3,0
"7688",0,"Italy",0,"Scotland",1,"M Bergamasco",3,"W","won",0,"1","1",0,0,3,0
"7689",0,"Fra",0,"Wales",1,"L Beauxis",3,"FH","lost",0,"1","1",0,0,3,0
"7690",0,"UAE",0,"Japan",1,"M Strang",3,"FH","lost",0,"3","2",0,0,3,0
"7691",0,"Korea",0,"Japan",1,"HS Park",3,"FH","lost",0,"3","2",0,0,3,0
"7692",0,"Urug",0,"Chile",1,"JJ Etcheverry Cavanna",3,"FB","won",0,"2","3",0,0,3,0
"7693",0,"Urug",1,"Romania",0,"F Berchesi Pisano",3,"FH","lost",0,"2","2",0,0,0,3
"7694",0,"Ukr",0,"Georgia",1,"V Krasnodemskiy",3,"FB","lost",0,"3","2",0,0,3,0
"7695",0,"Urug",0,"Russia",1,"F Berchesi Pisano",3,"SH","lost",0,"2","2",0,0,3,0
"7696",0,"Aust",0,"Wales",1,"MJ Harris",3,"FH","won",0,"1","1",0,0,3,0
"7697",0,"Urug",0,"Portugal",1,"JJ Etcheverry Cavanna",3,"FB","won",0,"2","2",0,0,3,0
"7698",0,"Eng",0,"South Africa",1,"TGAL Flood",3,"FH","draw",0,"1","1",0,0,3,0
"7699",0,"Namib",1,"Madagascar",0,"EA Jantjies",3,"SH","lost",0,"2","3",0,0,0,3
"7700",0,"SA",0,"New Zealand",1,"JL Goosen",3,"FH","lost",0,"1","1",0,0,3,0
"7701",0,"SA",0,"New Zealand",1,"M Steyn",3,"FH","lost",0,"1","1",0,0,3,0
"7702",0,"Aust",0,"Argentina",1,"KJ Beale",3,"W","won",0,"1","1",0,0,3,0
"7703",0,"Aust",0,"South Africa",1,"KJ Beale",3,"FH","lost",0,"1","1",0,0,3,0
"7704",0,"Aust",0,"New Zealand",1,"KJ Beale",3,"FH","draw",0,"1","1",0,0,3,0
"7705",0,"Arg",0,"Wales",1,"F Contepomi",3,"C","won",0,"1","1",0,0,3,0
"7706",0,"Fra",0,"Australia",1,"MRJ Parra",3,"SH","won",0,"1","1",0,0,3,0
"7707",0,"JPN",1,"Georgia",0,"K Ono",3,"FH","won",0,"2","2",0,0,0,3
"7708",0,"Spain",0,"Namibia",1,"JM Nava de Olano",3,"FH","won",0,"2","2",0,0,3,0
"7709",0,"Chile",0,"Portugal",1,"B Pizarro Cristi",3,"FH","lost",0,"3","2",0,0,3,0
"7710",0,"Russ",0,"Canada",1,"I Klyuchnikov",3,"FB","lost",0,"2","2",0,0,3,0
"7711",0,"Tonga",0,"USA",1,"VF Lilo",3,"FB","won",0,"2","2",0,0,3,0
"7712",0,"Rom",0,"USA",1,"A Filip",3,"FH","lost",0,"2","2",0,0,3,0
"7713",0,"Fra",0,"Samoa",1,"MRJ Parra",3,"SH","won",0,"1","2",0,0,3,0
"7714",0,"Spain",0,"Russia",1,"JM Carrion Llorens",3,"W","lost",0,"2","2",0,0,3,0
"7715",0,"Italy",1,"France",0,"KS Burton",3,"FH","won",0,"1","1",0,0,0,3
"7716",0,"Spain",0,"Belgium",1,"S Fernandez Riga",3,"SH","draw",0,"2","3",0,0,3,0
"7717",0,"Italy",0,"Scotland",1,"L Orquera",3,"FH","lost",0,"1","1",0,0,3,0
"7718",0,"Russ",0,"Georgia",1,"I Klyuchnikov",3,"FB","lost",0,"2","2",0,0,3,0
"7719",0,"Russ",0,"Georgia",1,"S Sugrobov",3,"FH","lost",0,"2","2",0,0,3,0
"7720",0,"Russ",0,"Georgia",1,"SV Yanyushkin",3,"FH","lost",0,"2","2",0,0,3,0
"7721",0,"Fra",0,"England",1,"F Michalak",3,"FH","lost",0,"1","1",0,0,3,0
"7722",0,"Ire",0,"Scotland",1,"DPLJ Jackson",3,"FH","lost",0,"1","1",0,0,3,0
"7723",0,"Fra",0,"Ireland",1,"MRJ Parra",3,"SH","draw",0,"1","1",0,0,3,0
"7724",0,"Italy",0,"Ireland",1,"GM Garcia",3,"C","won",0,"1","1",0,0,3,0
"7725",0,"Port",0,"Spain",1,"S Marques",3,"SH","draw",0,"2","2",0,0,3,0
"7726",0,"Spain",0,"Portugal",1,"JM Nava de Olano",3,"C","draw",0,"2","2",0,0,3,0
"7727",0,"Eng",0,"Wales",1,"OA Farrell",3,"FH","lost",0,"1","1",0,0,3,0
"7728",0,"UAE",0,"Japan",1,"J Ham",3,"FH","lost",0,"3","2",0,0,3,0
"7729",0,"JPN",0,"Fiji",1,"A Goromaru",3,"FB","lost",0,"2","2",0,0,3,0
"7730",0,"Wales",0,"Japan",1,"MR Patchell",3,"FH","won",0,"1","2",0,0,3,0
"7731",0,"Fra",0,"New Zealand",1,"C Lopez",3,"FH","lost",0,"1","1",0,0,3,0
"7732",0,"Can",0,"Tonga",1,"CP Hearn",3,"C","won",0,"2","2",0,0,3,0
"7733",0,"Arg",0,"England",1,"MJ Bustos Moyano",3,"FB","lost",0,"1","1",0,0,3,0
"7734",0,"Urug",0,"Georgia",1,"GJ Albanell Herrera",3,"SH","lost",0,"2","2",0,0,3,0
"7735",0,"Tonga",0,"USA",1,"O Latu Langilangi",3,"F","won",0,"2","2",0,0,3,0
"7736",0,"Wales",0,"Japan",1,"DR Biggar",3,"FH","lost",0,"1","2",0,0,3,0
"7737",0,"Italy",0,"Samoa",1,"L Orquera",3,"FH","lost",0,"1","2",0,0,3,0
"7738",0,"Fra",1,"New Zealand",0,"F Fritz",3,"C","lost",0,"1","1",0,0,0,3
"7739",0,"Georg",0,"Argentina",1,"L Malaguradze",3,"FH","lost",0,"2","1",0,0,3,0
"7740",0,"NZ",0,"Australia",1,"IJA Dagg",3,"FB","won",0,"1","1",0,0,3,0
"7741",0,"NZ",0,"Argentina",1,"BJ Barrett",3,"FH","won",0,"1","1",0,0,3,0
"7742",0,"Aust",0,"South Africa",1,"CP Leali'ifano",3,"C","lost",0,"1","1",0,0,3,0
"7743",0,"Arg",0,"New Zealand",1,"MT Bosch",3,"C","lost",0,"1","1",0,0,3,0
"7744",0,"NZ",0,"Australia",1,"BJ Barrett",3,"FH","won",0,"1","1",0,0,3,0
"7745",0,"Arg",0,"England",1,"MT Bosch",3,"C","lost",0,"1","1",0,0,3,0
"7746",0,"Samoa",0,"Ireland",1,"KF Fotuali'i",3,"SH","lost",0,"2","1",0,0,3,0
"7747",0,"Chile",0,"Spain",1,"JP Perrotta",3,"SH","lost",0,"3","2",0,0,3,0
"7748",0,"Can",0,"Romania",1,"J Pritchard",3,"W","lost",0,"2","2",0,0,3,0
"7749",0,"Ire",0,"Australia",1,"IL Madigan",3,"FH","lost",0,"1","1",0,0,3,0
"7750",0,"Port",0,"Canada",1,"PMDC Leal",3,"FB","lost",0,"2","2",0,0,3,0
"7751",0,"Fra",0,"South Africa",1,"JM Doussain",3,"SH","lost",0,"1","1",0,0,3,0
"7752",0,"SA",0,"France",1,"PJ Lambie",3,"FB","won",0,"1","1",0,0,3,0
"7753",0,"Wales",0,"Australia",1,"R Priestland",3,"FH","lost",0,"1","1",0,0,3,0
"7754",0,"Eng",1,"France",0,"DS Care",3,"SH","lost",0,"1","1",0,0,0,3
"7755",0,"Eng",0,"France",1,"AD Goode",3,"W","lost",0,"1","1",0,0,3,0
"7756",0,"Russ",0,"Romania",1,"Y Kushnarev",3,"FH","lost",0,"2","2",0,0,3,0
"7757",0,"Wales",0,"Ireland",1,"SL Halfpenny",3,"FB","lost",0,"1","1",0,0,3,0
"7758",0,"Eng",1,"Scotland",0,"DS Care",3,"SH","won",0,"1","1",0,0,0,3
"7759",0,"Italy",0,"France",1,"T Allan",3,"FH","lost",0,"1","1",0,0,3,0
"7760",0,"Fra",0,"Wales",1,"JM Doussain",3,"SH","lost",0,"1","1",0,0,3,0
